wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.39,0.52,1000
0.34,0.61,2000
0.33,0.64,3000
0.28,0.58,4000
0.28,0.62,5000
0.32,0.63,6000
0.41,0.63,7000
0.32,0.57,8000
0.36,0.63,9000
0.49,0.58,10000
0.39,0.62,11000
0.48,0.65,12000
0.38,0.6,13000
0.5,0.53,14000
0.54,0.6,15000
0.56,0.62,16000
0.5,0.65,17000
0.58,0.75,18000
0.65,0.71,19000
0.58,0.72,20000
0.64,0.6,21000
0.67,0.74,22000
0.68,0.69,23000
0.63,0.68,24000
0.68,0.71,25000
0.59,0.78,26000
0.72,0.7,27000
0.7,0.75,28000
0.69,0.77,29000
0.63,0.73,30000
0.65,0.71,31000
0.57,0.74,32000
0.58,0.68,33000
0.64,0.73,34000
0.56,0.72,35000
0.63,0.69,36000
0.65,0.77,37000
0.71,0.75,38000
0.69,0.77,39000
0.6,0.79,40000
0.71,0.74,41000
0.76,0.75,42000
0.76,0.7,43000
0.75,0.72,44000
0.63,0.66,45000
0.67,0.82,46000
0.67,0.72,47000
0.63,0.75,48000
0.67,0.68,49000
0.6,0.72,50000
0.61,0.71,51000
0.63,0.75,52000
0.61,0.71,53000
0.66,0.7,54000
0.66,0.79,55000
0.64,0.77,56000
0.66,0.7,57000
0.66,0.76,58000
0.74,0.69,59000
0.61,0.69,60000
0.61,0.7,61000
0.63,0.76,62000
